iter	Passed	Remaining
525	1249	1126
526	1251	1123
527	1253	1120
528	1255	1117
529	1256	1114
530	1258	1111
531	1259	1108
532	1261	1105
533	1263	1102
534	1265	1099
535	1267	1097
536	1269	1094
537	1270	1091
538	1272	1088
539	1274	1085
540	1275	1082
541	1277	1079
542	1279	1077
543	1282	1074
544	1284	1071
545	1285	1069
546	1287	1066
547	1289	1063
548	1291	1060
549	1293	1058
550	1295	1055
551	1297	1052
552	1299	1050
553	1301	1047
554	1303	1045
555	1305	1042
556	1306	1039
557	1308	1036
558	1310	1033
559	1312	1031
560	1314	1028
561	1315	1025
562	1317	1022
563	1319	1020
564	1321	1017
565	1322	1014
566	1324	1011
567	1326	1008
568	1328	1006
569	1330	1003
570	1332	1000
571	1334	998
572	1335	995
573	1337	992
574	1339	989
575	1340	987
576	1343	984
577	1345	982
578	1346	979
579	1348	976
580	1350	973
581	1351	970
582	1353	968
583	1355	965
584	1357	963
585	1359	960
586	1361	957
587	1362	954
588	1364	952
589	1366	949
590	1367	946
591	1369	943
592	1371	941
593	1373	938
594	1375	936
595	1377	933
596	1379	930
597	1381	928
598	1383	926
599	1385	923
600	1387	921
601	1389	918
602	1392	916
603	1394	914
604	1396	911
605	1399	909
606	1401	907
607	1403	904
608	1405	902
609	1407	900
610	1410	898
611	1412	895
612	1415	893
613	1417	891
614	1419	888
615	1422	886
616	1424	884
617	1427	882
618	1429	879
619	1431	877
620	1434	875
621	1436	873
622	1439	870
623	1441	868
624	1442	865
625	1444	863
626	1446	860
627	1449	858
628	1451	855
629	1453	853
630	1455	851
631	1457	848
632	1459	846
633	1461	843
634	1464	841
635	1466	839
636	1468	837
637	1471	834
638	1473	832
639	1475	830
640	1478	827
641	1480	825
642	1482	823
643	1484	820
644	1486	818
645	1487	815
646	1489	812
647	1490	809
648	1491	806
649	1493	803
650	1494	801
651	1496	798
652	1497	795
653	1498	792
654	1499	790
655	1501	787
656	1502	784
657	1503	781
658	1505	778
659	1506	776
660	1507	773
661	1509	770
662	1510	767
663	1512	765
664	1513	762
665	1514	759
666	1516	756
667	1517	754
668	1518	751
669	1519	748
670	1521	745
671	1522	743
672	1523	740
673	1525	737
674	1526	735
675	1529	732
676	1532	731
677	1535	729
678	1537	726
679	1542	725
680	1544	723
681	1547	721
682	1549	719
683	1551	716
684	1553	714
685	1556	712
686	1558	710
687	1560	707
688	1562	705
689	1564	703
690	1567	700
691	1569	698
692	1571	696
693	1573	693
694	1576	691
695	1578	689
696	1580	687
697	1584	685
698	1588	684
699	1591	682
700	1595	680
701	1598	678
702	1602	676
703	1604	674
704	1608	673
705	1611	671
706	1617	670
707	1621	668
708	1624	666
709	1626	664
710	1629	662
711	1632	660
712	1635	658
713	1638	656
714	1640	653
715	1643	651
716	1645	649
717	1647	647
718	1650	644
719	1652	642
720	1654	640
721	1656	637
722	1659	635
723	1662	633
724	1664	631
725	1666	629
726	1668	626
727	1671	624
728	1673	622
729	1676	620
730	1679	617
731	1681	615
732	1684	613
733	1686	611
734	1688	608
735	1691	606
736	1693	604
737	1696	602
738	1699	600
739	1701	597
740	1703	595
741	1705	593
742	1708	590
743	1711	588
744	1714	586
745	1716	584
746	1719	582
747	1721	580
748	1723	577
749	1726	575
750	1728	573
751	1730	570
752	1732	568
753	1735	566
754	1737	563
755	1739	561
756	1741	559
757	1743	556
758	1746	554
759	1748	552
760	1750	549
761	1753	547
762	1755	545
763	1757	542
764	1759	540
765	1761	538
766	1763	535
767	1766	533
768	1768	531
769	1771	529
770	1773	526
771	1776	524
772	1778	522
773	1780	519
774	1782	517
775	1784	515
776	1787	512
777	1789	510
778	1791	508
779	1793	505
780	1795	503
781	1799	501
782	1802	499
783	1804	497
784	1806	494
785	1808	492
786	1810	490
787	1813	487
788	1816	485
789	1818	483
790	1820	481
791	1822	478
792	1824	476
793	1827	474
794	1829	471
795	1831	469
796	1834	467
797	1836	464
798	1838	462
799	1840	460
800	1844	458
801	1846	455
802	1849	453
803	1851	451
804	1853	448
805	1855	446
806	1857	444
807	1859	441
808	1861	439
809	1863	437
810	1865	434
811	1867	432
812	1869	429
813	1871	427
814	1873	425
815	1876	423
816	1878	420
817	1880	418
818	1882	416
819	1884	413
820	1886	411
821	1888	409
822	1891	406
823	1893	404
824	1895	402
825	1898	399
826	1899	397
827	1901	395
828	1904	392
829	1906	390
830	1908	388
831	1910	385
832	1912	383
833	1914	381
834	1916	378
835	1919	376
836	1921	374
837	1923	371
838	1925	369
839	1926	367
840	1929	364
841	1931	362
842	1934	360
843	1936	357
844	1938	355
845	1940	353
846	1942	350
847	1944	348
848	1945	346
849	1948	343
850	1950	341
851	1952	339
852	1954	336
853	1956	334
854	1958	332
855	1960	329
856	1962	327
857	1964	325
858	1966	322
859	1967	320
860	1969	318
861	1971	315
862	1973	313
863	1975	310
864	1978	308
865	1980	306
866	1982	304
867	1985	301
868	1987	299
869	1989	297
870	1991	294
871	1993	292
872	1995	290
873	1996	287
874	1999	285
875	2001	283
876	2003	280
877	2005	278
878	2007	276
879	2009	274
880	2011	271
881	2013	269
882	2016	267
883	2017	264
884	2020	262
885	2021	260
886	2023	257
887	2025	255
888	2027	253
889	2030	250
890	2032	248
891	2034	246
892	2036	243
893	2038	241
894	2040	239
895	2042	237
896	2044	234
897	2046	232
898	2048	230
899	2050	227
900	2052	225
901	2054	223
902	2056	220
903	2058	218
904	2060	216
905	2062	214
906	2064	211
907	2067	209
908	2068	207
909	2070	204
910	2072	202
911	2074	200
912	2076	197
913	2078	195
914	2079	193
915	2082	190
916	2084	188
917	2086	186
918	2088	184
919	2090	181
920	2092	179
921	2095	177
922	2097	174
923	2099	172
924	2101	170
925	2103	168
926	2108	166
927	2111	163
928	2114	161
929	2116	159
930	2118	157
931	2121	154
932	2125	152
933	2127	150
934	2129	148
935	2132	145
936	2134	143
937	2136	141
938	2138	138
939	2140	136
940	2143	134
941	2145	132
942	2147	129
943	2150	127
944	2153	125
945	2156	123
946	2158	120
947	2160	118
948	2163	116
949	2166	114
950	2168	111
951	2171	109
952	2173	107
953	2175	104
954	2178	102
955	2180	100
956	2182	98
957	2185	95
958	2187	93
959	2189	91
960	2191	88
961	2193	86
962	2195	84
963	2198	82
964	2201	79
965	2224	78
966	2227	76
967	2231	73
968	2234	71
969	2240	69
970	2244	67
971	2247	64
972	2251	62
973	2253	60
974	2255	57
975	2258	55
976	2261	53
977	2263	50
978	2266	48
979	2269	46
980	2272	44
981	2274	41
982	2279	39
983	2282	37
984	2284	34
985	2286	32
986	2290	30
987	2294	27
988	2300	25
989	2303	23
990	2306	20
991	2309	18
992	2311	16
993	2314	13
994	2316	11
995	2318	9
996	2320	6
997	2323	4
998	2326	2
999	2329	0
